timestamp,local,event,type,direction,src,dst,control,crc,message_preview,next_hop_ip,next_hop_port
2026-06-18 15:41:11,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:11,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:12,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:12,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:13,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:13,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:14,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:14,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:15,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:15,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:16,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:16,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:17,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:17,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:18,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:18,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:19,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:19,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:20,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:20,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:21,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:21,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:22,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:22,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:23,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:23,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:24,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:24,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:25,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:25,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:26,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:26,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:27,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:27,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
2026-06-18 15:41:28,B,SEND_TOKEN,TOKEN,OUT,B,,,,,192.168.0.218,6001
2026-06-18 15:41:28,B,RECV_TOKEN,TOKEN,IN,B,,,,,,
